x_sin,y_sin,x_cos,y_cos
0.0,0.0,0.0,1.0
0.03157379551346526,0.0316,0.2617993877991494,0.9659
0.06314759102693052,0.0631,0.5235987755982988,0.866
0.09472138654039577,0.0946,0.7853981633974483,0.7071
0.12629518205386103,0.126,1.0471975511965976,0.5
0.1578689775673263,0.1572,1.308996938995747,0.2588
0.18944277308079155,0.1883,1.5707963267948966,0.0
0.2210165685942568,0.2192,1.832595714594046,-0.2588
0.25259036410772207,0.2499,2.0943951023931953,-0.5
0.28416415962118735,0.2804,2.356194490192345,-0.7071
0.3157379551346526,0.3105,2.617993877991494,-0.866
0.3473117506481178,0.3404,2.8797932657906435,-0.9659
0.3788855461615831,0.3699,3.141592653589793,-1.0
0.4104593416750484,0.399,3.4033920413889422,-0.9659
0.4420331371885136,0.4278,3.665191429188092,-0.866
0.47360693270197884,0.4561,3.926990816987241,-0.7071
0.5051807282154441,0.484,4.1887902047863905,-0.5
0.5367545237289094,0.5113,4.45058959258554,-0.2588
0.5683283192423747,0.5382,4.71238898038469,-0.0
0.5999021147558399,0.5646,4.974188368183839,0.2588
0.6314759102693052,0.5903,5.235987755982988,0.5
0.6630497057827704,0.6155,5.497787143782138,0.7071
0.6946235012962356,0.6401,5.759586531581287,0.866
0.7261972968097009,0.664,6.021385919380436,0.9659
0.7577710923231662,0.6873,6.283185307179586,1.0
0.7893448878366315,0.7099,,
0.8209186833500968,0.7318,,
0.8524924788635619,0.7529,,
0.8840662743770272,0.7733,,
0.9156400698904925,0.793,,
0.9472138654039577,0.8118,,
0.978787660917423,0.8298,,
1.0103614564308883,0.847,,
1.0419352519443534,0.8634,,
1.0735090474578188,0.8789,,
1.105082842971284,0.8935,,
1.1366566384847494,0.9072,,
1.1682304339982146,0.9201,,
1.1998042295116798,0.932,,
1.2313780250251452,0.9429,,
1.2629518205386103,0.953,,
1.2945256160520755,0.9621,,
1.326099411565541,0.9702,,
1.357673207079006,0.9774,,
1.3892470025924712,0.9836,,
1.4208207981059366,0.9888,,
1.4523945936194018,0.993,,
1.4839683891328672,0.9962,,
1.5155421846463324,0.9985,,
1.5471159801597976,0.9997,,
1.578689775673263,1.0,,
1.6102635711867281,0.9992,,
1.6418373667001935,0.9975,,
1.6734111622136587,0.9947,,
1.7049849577271239,0.991,,
1.7365587532405893,0.9863,,
1.7681325487540545,0.9806,,
1.7997063442675196,0.9739,,
1.831280139780985,0.9663,,
1.8628539352944502,0.9577,,
1.8944277308079154,0.9481,,
1.9260015263213808,0.9376,,
1.957575321834846,0.9261,,
1.9891491173483113,0.9138,,
2.0207229128617765,0.9005,,
2.0522967083752417,0.8863,,
2.083870503888707,0.8712,,
2.1154442994021725,0.8553,,
2.1470180949156377,0.8385,,
2.178591890429103,0.8209,,
2.210165685942568,0.8025,,
2.241739481456033,0.7832,,
2.273313276969499,0.7632,,
2.304887072482964,0.7424,,
